date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,year_month
20120703,2012-07-03,2012,3,7,July,3,1,Tuesday,2012-07
20120704,2012-07-04,2012,3,7,July,4,2,Wednesday,2012-07
20120705,2012-07-05,2012,3,7,July,5,3,Thursday,2012-07
20120706,2012-07-06,2012,3,7,July,6,4,Friday,2012-07
20120707,2012-07-07,2012,3,7,July,7,5,Saturday,2012-07
20120708,2012-07-08,2012,3,7,July,8,6,Sunday,2012-07
20120709,2012-07-09,2012,3,7,July,9,0,Monday,2012-07
20120710,2012-07-10,2012,3,7,July,10,1,Tuesday,2012-07
20120711,2012-07-11,2012,3,7,July,11,2,Wednesday,2012-07
20120712,2012-07-12,2012,3,7,July,12,3,Thursday,2012-07
20120713,2012-07-13,2012,3,7,July,13,4,Friday,2012-07
20120714,2012-07-14,2012,3,7,July,14,5,Saturday,2012-07
20120715,2012-07-15,2012,3,7,July,15,6,Sunday,2012-07
20120716,2012-07-16,2012,3,7,July,16,0,Monday,2012-07
20120717,2012-07-17,2012,3,7,July,17,1,Tuesday,2012-07
20120718,2012-07-18,2012,3,7,July,18,2,Wednesday,2012-07
20120719,2012-07-19,2012,3,7,July,19,3,Thursday,2012-07
20120720,2012-07-20,2012,3,7,July,20,4,Friday,2012-07
20120721,2012-07-21,2012,3,7,July,21,5,Saturday,2012-07
20120722,2012-07-22,2012,3,7,July,22,6,Sunday,2012-07
20120723,2012-07-23,2012,3,7,July,23,0,Monday,2012-07
20120724,2012-07-24,2012,3,7,July,24,1,Tuesday,2012-07
20120725,2012-07-25,2012,3,7,July,25,2,Wednesday,2012-07
20120726,2012-07-26,2012,3,7,July,26,3,Thursday,2012-07
20120727,2012-07-27,2012,3,7,July,27,4,Friday,2012-07
20120728,2012-07-28,2012,3,7,July,28,5,Saturday,2012-07
20120729,2012-07-29,2012,3,7,July,29,6,Sunday,2012-07
20120730,2012-07-30,2012,3,7,July,30,0,Monday,2012-07
20120731,2012-07-31,2012,3,7,July,31,1,Tuesday,2012-07
20120801,2012-08-01,2012,3,8,August,1,2,Wednesday,2012-08
20120802,2012-08-02,2012,3,8,August,2,3,Thursday,2012-08
20120803,2012-08-03,2012,3,8,August,3,4,Friday,2012-08
20120804,2012-08-04,2012,3,8,August,4,5,Saturday,2012-08
20120805,2012-08-05,2012,3,8,August,5,6,Sunday,2012-08
20120806,2012-08-06,2012,3,8,August,6,0,Monday,2012-08
20120807,2012-08-07,2012,3,8,August,7,1,Tuesday,2012-08
20120808,2012-08-08,2012,3,8,August,8,2,Wednesday,2012-08
20120809,2012-08-09,2012,3,8,August,9,3,Thursday,2012-08
20120810,2012-08-10,2012,3,8,August,10,4,Friday,2012-08
20120811,2012-08-11,2012,3,8,August,11,5,Saturday,2012-08
20120812,2012-08-12,2012,3,8,August,12,6,Sunday,2012-08
20120813,2012-08-13,2012,3,8,August,13,0,Monday,2012-08
20120814,2012-08-14,2012,3,8,August,14,1,Tuesday,2012-08
20120815,2012-08-15,2012,3,8,August,15,2,Wednesday,2012-08
20120816,2012-08-16,2012,3,8,August,16,3,Thursday,2012-08
20120817,2012-08-17,2012,3,8,August,17,4,Friday,2012-08
20120818,2012-08-18,2012,3,8,August,18,5,Saturday,2012-08
20120819,2012-08-19,2012,3,8,August,19,6,Sunday,2012-08
20120820,2012-08-20,2012,3,8,August,20,0,Monday,2012-08
20120821,2012-08-21,2012,3,8,August,21,1,Tuesday,2012-08
20120822,2012-08-22,2012,3,8,August,22,2,Wednesday,2012-08
20120823,2012-08-23,2012,3,8,August,23,3,Thursday,2012-08
20120824,2012-08-24,2012,3,8,August,24,4,Friday,2012-08
20120825,2012-08-25,2012,3,8,August,25,5,Saturday,2012-08
20120826,2012-08-26,2012,3,8,August,26,6,Sunday,2012-08
20120827,2012-08-27,2012,3,8,August,27,0,Monday,2012-08
20120828,2012-08-28,2012,3,8,August,28,1,Tuesday,2012-08
20120829,2012-08-29,2012,3,8,August,29,2,Wednesday,2012-08
20120830,2012-08-30,2012,3,8,August,30,3,Thursday,2012-08
