governorate_key,governorate_name_ar,governorate_name_en,region
1,أسوان,Aswan,Upper Egypt
2,أسيوط,Asyut,Upper Egypt
3,الإسكندرية,Alexandria,Delta/Coast
4,الإسماعيلية,Ismailia,Canal
5,البحيرة,Beheira,Delta/Coast
6,الجيزة,Giza,Greater Cairo
7,الدقهلية,Dakahlia,Delta/Coast
8,الشرقية,Sharqia,Delta/Coast
9,الغربية,Gharbia,Delta/Coast
10,الفيوم,Faiyum,Upper Egypt
11,القاهرة,Cairo,Greater Cairo
12,القليوبية,Qalyubia,Greater Cairo
13,المنوفية,Monufia,Delta/Coast
14,المنيا,Minya,Upper Egypt
15,بني سويف,Beni Suef,Upper Egypt
16,بورسعيد,Port Said,Canal
17,سوهاج,Sohag,Upper Egypt
18,قنا,Qena,Upper Egypt
