review_key,date_key,service_key,governorate_key,rating_score,has_rating,has_text,text_length,review_type,review_id
1,20260530,1,11,3.0,1,1,451,both,a28a2f7a85098099
2,20260301,1,11,4.0,1,1,142,both,58f112f0816d0147
3,20260430,1,11,5.0,1,1,326,both,29bb067d1425a9a1
4,20260608,1,11,5.0,1,1,94,both,0d0f313d49fbc8fa
5,20260608,1,11,,0,1,114,complaint,6d09649ee9de5a70
6,20251201,1,11,5.0,1,1,87,both,eaa6fb9b101e656b
7,20260430,1,11,5.0,1,1,65,both,9c0b09be5adb19d1
8,20260530,1,11,,0,1,99,complaint,d2fc1e1b790eca2d
9,20260430,1,11,4.0,1,1,75,both,01bbb18f9e0ffdf7
10,20260615,1,11,3.0,1,1,120,both,468d717923511153
11,20260130,1,11,,0,1,313,complaint,58286a15c61a6328
12,20260301,1,11,5.0,1,1,81,both,7728874bdeabf1c1
13,20251101,1,11,4.0,1,1,126,both,3b81a5b3aa7be604
14,20260430,1,11,3.0,1,1,44,both,c3feeb47af6aa9c2
15,20260530,1,11,5.0,1,1,65,both,0a4d1f8f9a93ad99
16,20260430,1,11,5.0,1,1,39,both,76b370aab2b10265
17,20260331,1,11,,0,1,123,complaint,c3a6d3f2d2c8304f
18,20260430,1,11,5.0,1,1,72,both,029d2e30c17a1d4b
19,20260430,1,11,5.0,1,1,66,both,6d403c8a6b0dbd3c
20,20251231,1,11,3.0,1,1,748,both,c223ef4ba0e6b6b7
21,20260622,1,11,,0,1,42,complaint,23e3bab0bd06cf4d
22,20260130,1,11,,0,1,85,complaint,3e1b1ff5f1c17539
23,20260430,1,11,5.0,1,1,39,both,ac31fdc85faa91d7
24,20240629,1,11,3.0,1,1,27,both,2e9ea64e5eb1506c
25,20240629,1,11,5.0,1,1,41,both,5ee42b6801a46d87
26,20260530,1,11,4.0,1,1,102,both,207921c37ce2ef8c
27,20260301,1,11,5.0,1,1,98,both,2f9e03b56b0a16bd
28,20251201,1,11,3.0,1,1,116,both,0bfe62d60f35264c
29,20190701,1,11,3.0,1,1,641,both,945898eb9eb5f71f
30,20251002,1,11,5.0,1,1,373,both,07b5156374221456
31,20260301,1,11,5.0,1,1,31,both,5053bb805a0ca76a
32,20260530,1,11,5.0,1,1,38,both,515916134b293a66
33,20240629,1,11,5.0,1,1,56,both,ac1e58eadd3a799b
34,20260530,1,11,5.0,1,1,39,both,223ea264f1851ed9
35,20260530,1,11,3.0,1,1,29,both,492268ad876936e6
36,20260331,1,11,4.0,1,1,68,both,07deaae029aed27f
37,20230630,1,11,4.0,1,1,69,both,fdcc9f7f321aee88
38,20250629,1,11,,0,1,127,complaint,509301f723205f7e
39,20251231,1,11,,0,1,139,complaint,cecbdcd0a55f4852
40,20251231,1,11,5.0,1,1,45,both,be90d13df912d0a8
41,20251231,1,11,5.0,1,1,35,both,690bef1433aa7530
42,20260301,1,11,5.0,1,1,8,both,622fcfbe6ee81dbc
43,20230630,1,11,5.0,1,1,70,both,1da62bcb6b9494bf
44,20220630,1,11,3.0,1,1,93,both,0c80f03e3a493fe5
45,20240629,1,11,5.0,1,1,88,both,a9d3fd09ccd9b596
46,20220630,1,11,,0,1,49,complaint,e293b77199ba8d13
47,20240629,1,11,5.0,1,1,33,both,b651016594a3c714
48,20210630,1,11,5.0,1,1,73,both,09fae7715a14bb06
49,20220630,1,11,5.0,1,1,44,both,2cc9034915ba4a42
50,20250629,1,11,5.0,1,1,24,both,7facaf6c1c737f4f
51,20220630,1,11,,0,1,28,complaint,720a51812bf36468
52,20210630,1,11,5.0,1,1,22,both,8536808fc492e7f7
53,20210630,1,11,5.0,1,1,23,both,a95a3466c5b546e6
54,20240629,1,11,,0,1,26,complaint,5de27eef6151cdd1
55,20230630,1,11,5.0,1,1,14,both,0577057d392c8410
56,20230630,1,11,5.0,1,1,19,both,f641b338157a1119
57,20220630,1,11,,0,1,9,complaint,e219dad167457c1f
58,20230630,1,11,5.0,1,1,11,both,3a1ce5c7c854ddd6
59,20230630,1,11,5.0,1,1,9,both,6956fe2d977b5514
60,20170701,1,11,3.0,1,1,18,both,c654e77847034137
61,20200630,1,11,5.0,1,1,7,both,642e07971f8e7d75
62,20230630,1,11,5.0,1,1,9,both,dafee5a0c9d4e67d
63,20210630,1,11,5.0,1,1,15,both,fbd12446250b0a31
64,20210630,1,11,5.0,1,1,5,both,2a5917f4bd8a9c24
65,20170701,1,11,2.0,1,1,7,both,c5fc60cb010ea3e7
66,20260530,1,11,5.0,1,0,0,rating_only,37485eae3376dad8
67,20260130,1,11,4.0,1,0,0,rating_only,39d7ca0897269cc0
68,20250629,1,11,5.0,1,0,0,rating_only,0030749675a162d9
69,20250629,1,11,4.0,1,0,0,rating_only,78030351bebb0d96
70,20250629,1,11,5.0,1,0,0,rating_only,f9a303a4590ad2aa
71,20240629,1,11,5.0,1,0,0,rating_only,3bee1f5493b4dbbe
72,20240629,1,11,4.0,1,0,0,rating_only,a8153d6d82ca5ae9
73,20230630,1,11,5.0,1,0,0,rating_only,597559a608f6fa2a
74,20220630,1,11,5.0,1,0,0,rating_only,34ead369acb6f66b
75,20220630,1,11,5.0,1,0,0,rating_only,4fb4edcb24aa8026
76,20220630,1,11,4.0,1,0,0,rating_only,0dae3a794f999531
77,20220630,1,11,3.0,1,0,0,rating_only,53b5aee9db10fed8
78,20220630,1,11,5.0,1,0,0,rating_only,812c726acb588429
79,20220630,1,11,5.0,1,0,0,rating_only,c562bc3233f594de
80,20260130,1,11,,0,1,61,complaint,1db06855d2172d55
81,20250629,1,11,,0,1,413,complaint,9a63e0ef0e4020f7
82,20210630,1,11,4.0,1,1,148,both,9cf7a43fe862e053
83,20250629,1,11,5.0,1,1,109,both,ad05db0f164a3e2f
84,20210630,1,11,4.0,1,1,181,both,36e735be71788503
85,20230630,1,11,5.0,1,1,61,both,783dd596a7ff1e05
86,20210630,1,11,,0,1,178,complaint,bb1248742e09451b
87,20210630,1,11,5.0,1,1,137,both,941d99aada89b948
88,20240629,1,11,3.0,1,1,35,both,9cb072a1a57660fd
89,20220630,1,11,5.0,1,1,64,both,df5c4baef1627e5a
90,20220630,1,11,5.0,1,1,52,both,74dd5812bc98c017
91,20210630,1,11,5.0,1,1,51,both,fc2d6475b45696a4
92,20230630,1,11,,0,1,81,complaint,ff21c7250cffa98b
93,20210630,1,11,4.0,1,1,34,both,2993d06ea88ddba2
94,20250629,1,11,5.0,1,1,26,both,89257f51ec9f40cd
95,20230630,1,11,,0,1,46,complaint,1dd095c66b69ead1
96,20230630,1,11,,0,1,29,complaint,fcc5d8cbb3e65f58
97,20220630,1,11,3.0,1,1,55,both,18db538ef8eae013
98,20180701,1,11,5.0,1,1,29,both,680aba7c0b689bc1
99,20240629,1,11,,0,1,28,complaint,863418fe53a38c28
